"","Year","Month","Stock_lag_MV","Stock_Ew_Ret","Stock_Vw_Ret"
"356",1955,8,181153440.8125,0.00524421823472357,0.0036517041230735
"357",1955,9,181038579.1875,-0.00812804398772763,-0.00203659795494174
"358",1955,10,180075604.875,-0.0171889300291545,-0.0248896266677271
"359",1955,11,175124542,0.0555278921281783,0.0721714619160671
"360",1955,12,186524727.5,0.022489251657896,0.0166735797109411
"361",1956,1,193190048.375,-0.0205621980582524,-0.0280995861005213
"362",1956,2,187547960.75,0.0331025242718447,0.0396232301640552
"363",1956,3,194140532.75,0.0513829476236663,0.0678802791554778
"364",1956,4,207597047.875,0.00394498402914894,0.00465781911927347
"365",1956,5,208379854.3125,-0.0399911136459139,-0.0497322526019749
"366",1956,6,196965516.0625,0.021576544260553,0.0367334010489661
"367",1956,7,203469388.5,0.0396010825242718,0.0505189973643314
"368",1956,8,213571234,-0.0180662908560311,-0.0300577918346169
"369",1956,9,205911440.875,-0.035896109922179,-0.0495274297595762
"370",1956,10,195942486.8125,0.00704176915615907,0.00762582960196137
"371",1956,11,196866532.25,0.00566702815533981,0.00566328475129945
"372",1956,12,196529821.375,0.0228455046079029,0.0339881252544157
"373",1957,1,206757116.75,0.00271244357976654,-0.0330671422900462
"374",1957,2,199869202.9375,-0.0228559068865179,-0.0182532966340296
"375",1957,3,195558232.9375,0.0223074306086957,0.0235718529752075
"376",1957,4,199780714.8125,0.0259688291253237,0.045076685423141
"377",1957,5,208950887.9375,0.0216018156370656,0.0370502366084377
"378",1957,6,216170074.625,-0.0073533375,-0.00503680476804341
"379",1957,7,214599537.75,0.00566196564008645,0.00956396116744182
"380",1957,8,216855212.75,-0.0495644239442096,-0.0485984228584294
"381",1957,9,205405858.5625,-0.0526316804287252,-0.0572202573614263
"382",1957,10,193059965.9375,-0.0650793550239234,-0.0402576433299022
"383",1957,11,185191017.125,0.0209301527293053,0.0257431193198466
"384",1957,12,189207911.5,-0.0483982586028531,-0.0365333045195951
"385",1958,1,184408799.375,0.106981692160612,0.0492827490085958
"386",1958,2,192832848.0625,-0.0112939752740096,-0.0139826162599381
"387",1958,3,188857371.75,0.0357346961538462,0.0336454723166791
"388",1958,4,195220264.1875,0.0304203773426539,0.031682706470887
"389",1958,5,201326113.25,0.0394550440191388,0.0242057714139614
"390",1958,6,204989851.4375,0.032309236780558,0.0295563725811932
"391",1958,7,210325986.4375,0.0542642593659942,0.0445296671542979
"392",1958,8,219090927.25,0.0303005,0.0194797803092109
"393",1958,9,222190277.5,0.0523427615265684,0.0484749273516111
"394",1958,10,232195097.75,0.0325512615830116,0.0271042259723238
"395",1958,11,238082889.375,0.0426720876685934,0.0311559361994973
"396",1958,12,244715334.625,0.0389287849566056,0.0536704212026957
"397",1959,1,263460049.875,0.0420523349459596,0.00918274320332243
"398",1959,2,266351456.125,0.0288174763741562,0.011353086000724
"399",1959,3,268201760.0625,0.0120647138618141,0.00496611284446454
"400",1959,4,268718410.4375,0.0266236073500967,0.0385588951077407
"401",1959,5,279109147,0.00732693666026871,0.0194779227152347
"402",1959,6,283802037.4375,0.00447945829338447,-1.69692985841299e-05
"403",1959,7,283287008.75,0.0304577609942639,0.0341797626498567
"404",1959,8,292751966.3125,-0.0148309752616556,-0.0119956266406297
"405",1959,9,288068823.75,-0.045225247148289,-0.0449554785359333
"406",1959,10,274576371.5,0.022076726235866,0.0158078088580355
"407",1959,11,278801155.5625,0.0153943931271816,0.018541098479806
"408",1959,12,282696277.8125,0.0213628449905482,0.0278768406920542
"409",1960,1,294435260.875,-0.0394583449905482,-0.0664875937733726
"410",1960,2,274640381.5,0.00871534872761546,0.0145370867544481
"411",1960,3,277964586.125,-0.0246635394736842,-0.0128705827601425
"412",1960,4,273844771.5625,-0.0191611828655066,-0.0151101507660141
"413",1960,5,269601066.8125,0.0259263789868668,0.033912912658
"414",1960,6,277758246.25,0.0219620282502614,0.0231685306517958
"415",1960,7,283770244.875,-0.0193400736253495,-0.0223502320217211
"416",1960,8,277490566.0625,0.0374739231481481,0.0317110388486983
"417",1960,9,284922757.9375,-0.0602755744485294,-0.058338444658938
"418",1960,10,268257557.8125,-0.0235335601469238,-0.00490442887114813
"419",1960,11,266623519.4375,0.0468835284926471,0.048257796100891
"420",1960,12,277917453.4375,0.0383810266531805,0.048662021830539
"421",1961,1,294896554.5625,0.0824372575896964,0.064018351770428
